City,Customer_Age,Customer_Name,Customer_Segment,Discount,Order_Date,Order_ID,Order_Priority,Order_Quantity,Product_Base_Margin,Product_Category,Product_Name,Product_Sub_Category,Profit,Region,Sales,State,Unit_Price,Zip_Code
Westbrook,61,Katrina Willman,Consumer,0.05,2/15/2015,29473,Medium,31,0.6,Technology,Bell Sonecor JB700 Caller ID,Telephones and Communication,-111.98,East,206.2865,Maine,7.99,4092
Portland,41,Chuck Sachs,Consumer,0.04,6/7/2012,39780,Low,48,0.68,Furniture,Tenex B1-RE Series Chair Mats for Low Pile Carpets,Office Furnishings,569.08,East,2208.31,Maine,45.98,4101
Portland,47,Bill Tyler,Consumer,0,6/1/2013,4033,Low,38,0.66,Furniture,DMI Eclipse Executive Suite Bookcases,Bookcases,4127.79,East,19269.05,Maine,500.98,4101
South Portland,57,Jay Fine,Consumer,0.07,9/15/2014,23078,Medium,39,0.56,Office Supplies,Acme Galleria® Hot Forged Steel Scissors with Colored Handles,"Scissors, Rulers and Trimmers",-86.43,East,577.95,Maine,15.73,4106
South Portland,59,Chuck Sachs,Consumer,0.03,12/8/2014,20098,Medium,8,0.44,Furniture,Executive Impressions 14 Two-Color Numerals Wall Clock,Office Furnishings,87.66,East,194.11,Maine,22.72,4106
Auburn,44,Hunter Lopez,Consumer,0.06,12/14/2012,38882,Critical,40,0.37,Office Supplies,Xerox 1888,Paper,1043.43,East,2169.49,Maine,55.48,4210
Lewiston,47,Emily Phan,Consumer,0.05,6/10/2013,132,Medium,30,0.69,Furniture,"O'Sullivan Elevations Bookcase, Cherry Finish",Bookcases,-603.8,East,4011.65,Maine,130.98,4240
Augusta,42,Darrin Sayre,Consumer,0.08,9/12/2012,49891,Not Specified,19,0.36,Office Supplies,Avery 508,Labels,35.5,East,88.4,Maine,4.91,4330
Bangor,47,Bill Tyler,Consumer,0.05,5/14/2013,22338,Medium,36,0.37,Office Supplies,Astroparche® Fine Business Paper,Paper,-62.97,East,200.08,Maine,5.28,4401
Bangor,61,Alex Grayson,Consumer,0.06,2/14/2015,54053,High,18,0.8,Technology,Accessory6,Telephones and Communication,-230.34,East,821.7885,Maine,55.99,4401
Bangor,64,Christy Brittain,Consumer,0.09,4/22/2015,57638,Low,35,0.68,Furniture,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",Tables,-526.478095,East,5740.624,Maine,217.85,4401
Bangor,68,Nora Paige,Consumer,0.07,9/4/2015,16231,Low,20,0.63,Furniture,Bevis 36 x 72 Conference Tables,Tables,-500.4571,East,2506.38,Maine,124.49,4401
Waterville,50,Giulietta Dortch,Consumer,0,10/15/2013,30023,Low,36,0.59,Office Supplies,Boston 1730 StandUp Electric Pencil Sharpener,Pens & Art Supplies,19.73,East,840.24,Maine,21.38,4901
Bennington,68,Hunter Lopez,Consumer,0.1,9/2/2015,25666,Critical,23,0.58,Office Supplies,Portable Personal File Box,Storage & Organization,-37.85,East,260.08,Vermont,12.21,5201
Burlington,45,Eric Barreto,Consumer,0.02,1/12/2013,38369,Not Specified,3,0.68,Furniture,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Tables,54.59805,East,224.744,Vermont,71.37,5401
Colchester,58,Brian Stugart,Consumer,0.05,11/11/2014,51783,Medium,13,0.37,Office Supplies,Xerox 1937,Paper,244.13,East,646.55,Vermont,48.04,5439
Essex Junction,57,Chuck Sachs,Consumer,0.1,8/21/2014,46531,Low,2,0.39,Office Supplies,"Wilson Jones Hanging View Binder, White, 1",Binders and Binder Accessories,-14.375,East,19.34,Vermont,7.1,5451
Rutland,49,Craig Yedwab,Consumer,0.05,8/17/2013,22820,High,34,0.75,Technology,"Imation 3.5 DS/HD IBM Formatted Diskettes, 10/Pack",Computer Peripherals,-116.21,East,209.12,Vermont,5.98,5701
Rutland,51,Katrina Willman,Consumer,0.07,12/1/2013,25092,High,42,0.38,Office Supplies,"Quartet Omega® Colored Chalk, 12/Pack",Pens & Art Supplies,95.91,East,242.8,Vermont,5.84,5701
Rutland,70,Chris Cortes,Consumer,0.05,10/3/2015,46534,High,13,0.52,Technology,AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting,Office Machines,5.55,East,1341.31,Vermont,99.99,5701
Bristol,46,Chris Cortes,Consumer,0,3/16/2013,43972,Low,12,0.58,Technology,8260,Telephones and Communication,-62.326,East,714.391,Connecticut,65.99,6010
Bristol,73,Muhammed Yedwab,Consumer,0.09,11/8/2015,42469,Not Specified,31,0.37,Office Supplies,GBC Wire Binding Strips,Binders and Binder Accessories,98.6935,East,934.87,Connecticut,31.74,6010
Manchester,64,Christy Brittain,Consumer,0.07,4/22/2015,57638,Low,49,0.36,Office Supplies,Personal Creations™ Ink Jet Cards and Labels,Paper,78.89,East,570.43,Connecticut,11.48,6040
South Windsor,46,Muhammed Yedwab,Consumer,0.04,3/12/2013,42884,Not Specified,29,0.71,Furniture,Bretford CR8500 Series Meeting Room Furniture,Tables,-969.048366,East,12098.87,Connecticut,400.98,6074
Hartford,47,Dean Percer,Consumer,0.07,5/15/2013,38372,High,33,0.37,Office Supplies,"Wirebound Service Call Books, 5 1/2 x 4",Paper,106.45,East,310.99,Connecticut,9.68,6105
Norwich,46,Natalie Webber,Consumer,0.08,2/25/2013,8807,Low,14,0.57,Technology,i1000plus,Telephones and Communication,-78.54,East,1379.3375,Connecticut,125.99,6360
Norwich,53,Muhammed Lee,Consumer,0.09,3/1/2014,12868,Critical,2,0.36,Office Supplies,Spiral Phone Message Books with Labels by Adams,Paper,-5.26,East,9.37,Connecticut,4.48,6360
Norwich,57,Jay Fine,Consumer,0.1,9/15/2014,23078,Medium,18,0.35,Office Supplies,"Staples #10 Laser & Inkjet Envelopes, 4 1/8 x 9 1/2, 100/Box",Envelopes,-15.9,East,168.95,Connecticut,9.78,6360
Norwich,68,Maureen Gastineau,Consumer,0.03,9/14/2015,42306,High,18,0.41,Office Supplies,"Binney & Smith inkTank™ Erasable Pocket Highlighter, Chisel Tip, Yellow",Pens & Art Supplies,-63.03,East,47.4,Connecticut,2.28,6360
Middletown,48,Nicole Brennan,Consumer,0.08,8/4/2013,56166,Critical,1,0.61,Furniture,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,Chairs & Chairmats,-62.19,East,142.24,Connecticut,100.89,6457
Milford,50,Christy Brittain,Consumer,0.03,10/22/2013,48994,Not Specified,6,0.85,Office Supplies,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Storage & Organization,-311.23,East,1086.39,Connecticut,167.27,6460
Seymour,46,Harold Dahlen,Consumer,0.03,3/15/2013,36737,Not Specified,26,0.58,Technology,i1000,Telephones and Communication,215.433,East,1462.1615,Connecticut,65.99,6478
Southbury,73,Hunter Lopez,Consumer,0.01,11/10/2015,9602,Critical,27,0.38,Technology,Lexmark Z55se Color Inkjet Printer,Office Machines,600.93,East,2654.16,Connecticut,90.97,6488
New Haven,46,Alex Grayson,Consumer,0.01,2/23/2013,42528,Medium,46,0.39,Office Supplies,OIC Bulk Pack Metal Binder Clips,Rubber Bands,56.73,East,161.28,Connecticut,3.49,6510
Waterbury,56,Christy Brittain,Consumer,0.09,8/6/2014,36196,Not Specified,6,0.48,Furniture,DAX Solid Wood Frames,Office Furnishings,17.31,East,62.03,Connecticut,9.77,6702
Waterbury,73,Hunter Lopez,Consumer,0.05,11/10/2015,9602,Critical,15,0.65,Furniture,Sauder Camden County Collection Library,Bookcases,-399.67,East,1722.65,Connecticut,114.98,6710
Naugatuck,50,Giulietta Dortch,Consumer,0.1,10/15/2013,30023,Low,14,0.57,Office Supplies,"SimpliFile™ Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Storage & Organization,-76.34,East,157.33,Connecticut,11.35,6770
Torrington,54,Eric Barreto,Consumer,0.06,3/20/2014,9062,High,19,0.35,Furniture,"GE 48 Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",Office Furnishings,1193.19,East,1825.42,Connecticut,99.23,6790
Norwalk,64,Christy Brittain,Consumer,0.08,4/22/2015,57638,Low,49,0.55,Office Supplies,Kleencut® Forged Office Shears by Acme United Corporation,"Scissors, Rulers and Trimmers",-85.58,East,100.08,Connecticut,2.08,6850
Avenel,47,Emily Phan,Consumer,0.03,6/10/2013,132,Medium,27,0.6,Technology,Bell Sonecor JB700 Caller ID,Telephones and Communication,-86.196,East,192.814,New Jersey,7.99,7001
Bloomfield,41,Chuck Sachs,Consumer,0.02,6/7/2012,39780,Low,33,0.37,Office Supplies,Xerox 1937,Paper,809.97,East,1683.69,New Jersey,48.04,7003
Cranford,41,Chuck Sachs,Consumer,0.02,6/15/2012,28161,Not Specified,10,0.56,Furniture,"Hon Metal Bookcases, Putty",Bookcases,-222.77,East,784.08,New Jersey,70.98,7016
Garfield,47,Bill Tyler,Consumer,0.03,6/1/2013,4033,Low,21,0.6,Office Supplies,Home/Office Personal File Carts,Storage & Organization,140.33,East,763.12,New Jersey,34.76,7026
Livingston,57,Chuck Sachs,Consumer,0.01,8/21/2014,46531,Low,17,0.58,Technology,ELITE Series,Telephones and Communication,447.336,East,3064.658,New Jersey,205.99,7039
Orange,61,Katrina Willman,Consumer,0,2/15/2015,29473,Medium,40,0.66,Furniture,Chromcraft 48 x 96 Racetrack Double Pedestal Table,Tables,-774.890688,East,13367.82,New Jersey,320.64,7050
Colonia,48,Christy Brittain,Consumer,0.02,7/23/2013,26784,Critical,12,0.64,Furniture,Hon Every-Day® Chair Series Swivel Task Chairs,Chairs & Chairmats,-64.14,East,1466.95,New Jersey,120.98,7067
Colonia,48,Giulietta Dortch,Consumer,0.03,7/24/2013,45030,High,1,0.57,Office Supplies,Recycled Eldon Regeneration Jumbo File,Storage & Organization,-7.25,East,18.16,New Jersey,12.28,7067
South Orange,42,Eric Barreto,Consumer,0.05,8/25/2012,29350,High,46,0.41,Office Supplies,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Pens & Art Supplies,232.8,East,1634.17,New Jersey,36.55,7079
Woodbridge,48,Alex Grayson,Consumer,0.09,6/29/2013,11779,Not Specified,43,0.64,Technology,Micro Innovations 104 Keyboard,Computer Peripherals,-172.34,East,452.93,New Jersey,10.97,7095
Nutley,46,Alex Grayson,Consumer,0.02,2/23/2013,42528,Medium,29,0.37,Office Supplies,Xerox 1996,Paper,-147.72,East,200.7,New Jersey,6.48,7110
Irvington,47,Bill Tyler,Consumer,0.09,5/14/2013,22338,Medium,24,0.75,Technology,"IBM Numeric Access II Keypad, 17-Key, Black",Computer Peripherals,-213.18,East,790.24,New Jersey,35.77,7111
Elizabeth,60,Darrin Sayre,Consumer,0.09,1/10/2015,34662,Critical,35,0.65,Office Supplies,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Storage & Organization,95.06,East,12741.81,New Jersey,370.98,7201
Elmwood Park,42,Eric Barreto,Consumer,0.05,8/25/2012,29350,High,47,0.39,Office Supplies,Ibico Laser Imprintable Binding System Covers,Binders and Binder Accessories,592.5265,East,2519.55,New Jersey,52.4,7407
Fair Lawn,46,Maureen Gastineau,Consumer,0.08,2/13/2013,59619,Not Specified,35,0.37,Office Supplies,Xerox 212,Paper,-165.48,East,225.4,New Jersey,6.48,7410
Hawthorne,48,Christy Brittain,Consumer,0.09,7/23/2013,26784,Critical,33,0.39,Technology,Sharp EL500L Fraction Calculator,Office Machines,-37.9407,East,440.23,New Jersey,13.99,7506
Hackensack,53,Joni Wasserman,Consumer,0.01,2/14/2014,35494,Medium,18,0.63,Furniture,Hon 4060 Series Tables,Tables,-270.573732,East,1731.104,New Jersey,111.96,7601
Lodi,41,Alex Grayson,Consumer,0.09,6/22/2012,3397,Medium,11,0.36,Office Supplies,Avery Durable Binders,Binders and Binder Accessories,-3.381,East,30.61,New Jersey,2.88,7644
Lodi,50,Giulietta Dortch,Consumer,0.02,10/15/2013,30023,Low,34,0.38,Technology,Canon PC940 Copier,Copiers and Fax,6463.34,East,16193.16,New Jersey,449.99,7644
Paramus,62,Darrin Sayre,Consumer,0.09,3/9/2015,42471,Low,23,0.46,Office Supplies,"Avery Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",Pens & Art Supplies,-17.13,East,44.89,New Jersey,1.95,7652
Summit,41,Chuck Sachs,Consumer,0.04,6/15/2012,28161,Not Specified,41,0.75,Technology,Belkin MediaBoard 104- Keyboard,Computer Peripherals,-33.32,East,1085.61,New Jersey,27.48,7901
Morristown,53,Muhammed Lee,Consumer,0.09,3/1/2014,12868,Critical,31,0.56,Office Supplies,Newell 310,Pens & Art Supplies,-2.44,East,53.33,New Jersey,1.76,7960
Willingboro,57,Craig Yedwab,Consumer,0.1,9/19/2014,28992,Critical,41,0.55,Office Supplies,"Hot File® 7-Pocket, Floor Stand",Storage & Organization,1662.92,East,6863.95,New Jersey,178.47,8046
Pennsauken,55,Elizabeth Moffitt,Consumer,0.04,4/28/2014,34694,Low,11,0.54,Furniture,"Stacking Tray, Side-Loading, Legal, Smoke",Office Furnishings,-37.32,East,55.49,New Jersey,4.48,8109
Pleasantville,50,Chuck Sachs,Consumer,0.05,10/16/2013,41826,Medium,2,0.55,Furniture,Global Enterprise™ Series Seating Low-Back Swivel/Tilt Chairs,Chairs & Chairmats,-340.48,East,570.98,New Jersey,258.98,8232
Ewing,47,Dean Percer,Consumer,0,5/15/2013,38372,High,46,0.78,Furniture,36X48 HARDFLOOR CHAIRMAT,Office Furnishings,-632.16,East,1053.84,New Jersey,20.98,8618
Ewing,48,Alex Grayson,Consumer,0.04,6/29/2013,11779,Not Specified,45,0.39,Office Supplies,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",Paper,86.6,East,311.1,New Jersey,6.88,8618
Toms River,58,Brian Stugart,Consumer,0,11/11/2014,51783,Medium,47,0.69,Furniture,KI Conference Tables,Tables,54.23085,East,3587.72,New Jersey,70.89,8753
Edison,55,Joni Wasserman,Consumer,0.02,5/8/2014,55616,High,24,0.83,Technology,Accessory29,Telephones and Communication,-42.229,East,437.478,New Jersey,20.99,8817
Perth Amboy,61,Alex Grayson,Consumer,0.03,2/14/2015,54053,High,34,0.59,Technology,5125,Telephones and Communication,1185.408,East,5634.3525,New Jersey,200.99,8861
Ossining,43,Pamela Stobb,Consumer,0.07,10/8/2012,36739,Not Specified,27,0.55,Furniture,Aluminum Document Frame,Office Furnishings,97.19,East,331.17,New York,12.22,10562
Ossining,43,Pamela Stobb,Consumer,0.07,10/8/2012,36739,Not Specified,16,0.38,Office Supplies,Ibico Presentation Index for Binding Systems,Binders and Binder Accessories,-55.522,East,68.04,New York,3.98,10562
Ossining,72,Pamela Stobb,Consumer,0.02,10/29/2015,3014,Not Specified,13,0.4,Office Supplies,Ibico Hi-Tech Manual Binding System,Binders and Binder Accessories,1314.389,East,4002.14,New York,304.99,10562
Port Chester,47,Theresa Swint,Consumer,0.09,5/23/2013,13540,High,33,0.37,Office Supplies,Avery 510,Labels,51.21,East,121,New York,3.75,10573
Port Chester,47,Theresa Swint,Consumer,0.02,5/23/2013,13540,High,27,0.57,Technology,T193,Telephones and Communication,239.247,East,1484.185,New York,65.99,10573
Port Chester,48,Theresa Swint,Consumer,0.08,8/9/2013,34916,High,3,0.47,Furniture,Magna Visual Magnetic Picture Hangers,Office Furnishings,10.04,East,24.36,New York,4.82,10573
Brooklyn,64,Clay Ludtke,Consumer,0.05,4/16/2015,50982,High,23,0.37,Office Supplies,Avery 510,Labels,35.62,East,86.53,New York,3.75,11226
Brooklyn,65,Clay Ludtke,Consumer,0.1,5/12/2015,56672,High,34,0.41,Office Supplies,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Pens & Art Supplies,77.45,East,1132.32,New York,36.55,11226
Brooklyn,67,Clay Ludtke,Consumer,0.06,7/23/2015,17218,Critical,32,0.36,Office Supplies,Array® Memo Cubes,Paper,22.54,East,157.85,New York,5.18,11226
Brooklyn,70,Clay Ludtke,Consumer,0,10/16/2015,36034,High,10,0.56,Office Supplies,Newell 326,Pens & Art Supplies,-1.02,East,19.36,New York,1.76,11226
Oceanside,46,Pamela Stobb,Consumer,0.08,4/16/2013,772,High,35,0.5,Office Supplies,Bionaire 99.97% HEPA Air Cleaner,Appliances,-38.35,East,589.24,New York,17.52,11572
Oceanside,46,Pamela Stobb,Consumer,0.1,4/16/2013,772,High,25,0.37,Office Supplies,#6 3/4 Gummed Flap White Envelopes,Envelopes,86.93,East,233.05,New York,9.9,11572
Valley Stream,46,Anne Pryor,Consumer,0.08,2/21/2013,43940,Critical,44,0.59,Office Supplies,Sanford 52201 APSCO Electric Pencil Sharpener,Pens & Art Supplies,176.13,East,1717.21,New York,40.97,11580
Valley Stream,50,Anne Pryor,Consumer,0.04,9/20/2013,46725,Not Specified,8,0.58,Office Supplies,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",Storage & Organization,-24.86,East,137.42,New York,16.91,11580
Valley Stream,50,Anne Pryor,Consumer,0.03,9/20/2013,46725,Not Specified,13,0.55,Office Supplies,Newell 312,Pens & Art Supplies,10.96,East,80,New York,5.84,11580
